$map << EOD
-0.03 0.10 80.82


0.48 0.07 60.31
0.56 0.15 58.65
0.57 0.05 55.49
0.48 0.07 60.31


-0.20 -0.40 100.00
-0.21 -0.35 90.36
-0.15 -0.36 88.81
-0.20 -0.40 100.00


-0.21 0.05 87.49
-0.17 0.07 85.22
-0.17 0.02 85.45
-0.21 0.05 87.49


0.79 -0.06 39.94
0.69 -0.11 46.25
0.72 -0.01 45.85
0.79 -0.06 39.94


-0.22 -0.30 86.42
-0.24 -0.25 85.03
-0.18 -0.26 84.85
-0.22 -0.30 86.42


0.47 0.36 68.76
0.57 0.40 67.28
0.56 0.31 64.31
0.47 0.36 68.76


0.96 -0.10 27.82
0.93 -0.20 37.23
0.87 -0.12 35.38
0.96 -0.10 27.82


0.12 0.55 78.74
0.20 0.60 77.70
0.20 0.53 77.78
0.12 0.55 78.74


-0.17 0.16 84.80
-0.11 0.16 83.69
-0.14 0.11 84.25
-0.17 0.16 84.80


0.69 -0.11 46.25
